Time (s);Timestamp;Pressure (hPa);Temperature (°C);Altitude (m);Accel_X (m/s²);Accel_Y (m/s²);Accel_Z (m/s²);Gyro_X (°/s);Gyro_Y (°/s);Gyro_Z (°/s);Mag_X (µT);Mag_Y (µT);Mag_Z (µT);GPS_Latitude;GPS_Longitude;GPS_Altitude (m)
3.93;2025-05-04 11:22:51;975.3949639194718;40.108244648129926;141.5793247798793;0.21787235107421873;-0.3687070556640625;0.21787235107421873;-0.14602144372519085;0.1204410448244275;0.5462481015267177;-45.15;-32.55;-37.05;0.0;0.0;0.0
4.06;2025-05-04 11:22:51;975.284621906999;40.108244648129926;142.53062159405792;0.143652099609375;-0.51714755859375;0.13168109130859373;-0.15294946842748094;0.15161715598473283;0.6256539231145039;-41.55;-36.15;-37.8;0.0;0.0;0.0
4.19;2025-05-04 11:22:51;975.2856194353897;40.114677849717026;142.5220211649849;0.18914193115234373;-0.6392518432617187;0.22744915771484372;-0.11111485772519085;0.19771516650381682;0.7223798064580154;-38.85;-39.9;-34.8;0.0;0.0;0.0
4.32;2025-05-04 11:22:51;975.2198094896662;40.11411844088336;143.08943258312425;0.25139117431640623;-0.6655880615234374;0.17956512451171874;-0.05462481015267176;0.22649311526717558;0.8484165635419848;-36.449999999999996;-42.15;-34.35;0.0;0.0;0.0
4.45;2025-05-04 11:22:52;975.1995489748573;40.12474720872294;143.26412438816138;0.33518823242187495;-0.7541735229492187;0.35194764404296874;0.07940582158778627;0.2747228256946565;0.9360827222748092;-31.349999999999998;-49.199999999999996;-32.699999999999996;0.0;0.0;0.0
4.58;2025-05-04 11:22:52;986.9917497926317;40.12474720872294;142.08178574463585;1.2521674682617188;-1.5370774658203123;2.5354595581054684;0.13429709422900765;0.2909770374961832;0.9227595978473284;-24.75;-52.35;-32.699999999999996;0.0;0.0;0.0
4.72;2025-05-04 11:22:52;975.7242715445816;40.13677449864666;138.74076735662203;2.133233679199219;-3.143586779785156;0.5698199951171875;0.6301837854198474;0.4892251289770993;0.6717519336335879;-21.15;-54.9;-28.5;0.0;0.0;0.0
4.85;2025-05-04 11:22:52;975.72813247239;40.16166819174458;138.7074916310654;1.1731588134765625;-1.8100164550781248;0.6296750366210937;1.3171240809007634;0.30110261206106875;0.46284534261068705;-15.45;-55.35;-22.05;0.0;0.0;0.0
4.98;2025-05-04 11:22:52;976.0087364723316;40.16166819174458;136.28936825425689;1.7453730102539062;-6.5768719604492185;-1.9297265380859374;1.5564073956183209;0.2803185379541985;0.499883628519084;-14.85;-53.699999999999996;-13.5;0.0;0.0;0.0
5.12;2025-05-04 11:22:53;975.8505563552732;40.229356660617626;137.6524265564678;-20.67393133544922;-4.7189714721679685;2.3391350219726563;2.9105697624274813;-8.731442824793893;3.1796968758625956;-14.85;-55.65;-29.25;0.0;0.0;0.0
